Date,Open,High,Low,Close,Adj Close,Volume
2021-08-04,33.720001,33.910000,33.099998,33.160000,33.160000,232054
2021-08-05,33.160000,33.540001,32.840000,33.330002,33.330002,296194
2021-08-06,33.400002,33.770000,33.330002,33.599998,33.599998,190649
2021-08-09,33.599998,33.799999,33.580002,33.689999,33.689999,116566
2021-08-10,33.630001,33.799999,33.509998,33.779999,33.779999,147676
2021-08-11,33.830002,34.080002,33.830002,33.990002,33.990002,110805
2021-08-12,33.900002,34.080002,33.410000,33.450001,33.450001,195021
2021-08-13,33.549999,33.820000,33.459999,33.590000,33.590000,144121
2021-08-16,33.500000,33.599998,33.299999,33.400002,33.400002,162058
2021-08-17,33.360001,33.400002,32.759998,33.000000,33.000000,175623
2021-08-18,33.000000,33.270000,32.900002,33.189999,33.189999,171818
2021-08-19,32.950001,32.950001,32.529999,32.639999,32.639999,215888
2021-08-20,32.639999,32.639999,32.110001,32.250000,32.250000,160337
2021-08-23,32.320000,32.730000,32.220001,32.639999,32.639999,180882
2021-08-24,32.830002,33.049999,32.580002,32.709999,32.709999,182582
2021-08-25,32.660000,33.000000,32.549999,32.860001,32.860001,217032
2021-08-26,32.759998,33.099998,32.610001,33.000000,33.000000,147794
2021-08-27,32.930000,33.180000,32.730000,33.009998,33.009998,100681
2021-08-30,33.099998,33.270000,32.669998,32.799999,32.799999,164328
2021-08-31,32.889999,33.090000,32.570000,32.810001,32.810001,412915
2021-09-01,32.970001,33.730000,32.959999,33.270000,33.270000,256955
2021-09-02,33.240002,33.380001,32.970001,33.200001,33.200001,152670
2021-09-03,33.200001,33.310001,32.910000,32.970001,32.970001,143165
2021-09-06,33.060001,33.090000,32.820000,33.000000,33.000000,97102
2021-09-07,32.950001,33.110001,32.849998,32.950001,32.950001,133519
2021-09-08,32.849998,33.230000,32.759998,32.880001,32.880001,182673
2021-09-09,32.750000,32.759998,31.910000,32.070000,32.070000,278750
2021-09-10,32.160000,32.320000,29.520000,29.520000,29.520000,781468
2021-09-13,29.900000,30.190001,29.440001,29.660000,29.660000,607785
2021-09-14,29.709999,30.459999,29.680000,29.980000,29.980000,322435
2021-09-15,30.090000,30.430000,29.639999,30.100000,30.100000,312233
2021-09-16,30.129999,30.320000,29.590000,29.950001,29.950001,416031
2021-09-17,30.070000,30.270000,29.860001,29.860001,29.860001,700585
2021-09-20,29.629999,29.780001,29.290001,29.540001,29.540001,214760
2021-09-21,29.559999,29.780001,29.110001,29.190001,29.190001,157630
2021-09-22,29.459999,29.660000,29.299999,29.510000,29.510000,197448
2021-09-23,29.629999,29.860001,29.389999,29.860001,29.860001,237131
2021-09-24,29.740000,30.340000,29.709999,29.940001,29.940001,203076
2021-09-27,29.639999,30.110001,29.090000,29.719999,29.719999,294473
2021-09-28,29.700001,30.040001,29.610001,29.799999,29.799999,249498
2021-09-29,29.940001,30.139999,29.799999,30.000000,30.000000,163187
2021-09-30,30.150000,30.320000,29.730000,29.889999,29.889999,195846
2021-10-01,29.690001,30.160000,29.410000,29.920000,29.920000,195430
2021-10-04,29.820000,30.370001,29.750000,30.299999,30.299999,185331
2021-10-05,30.299999,30.370001,29.709999,29.860001,29.860001,172313
2021-10-06,29.850000,29.870001,29.410000,29.540001,29.540001,159205
2021-10-07,29.740000,30.040001,29.520000,29.520000,29.520000,218602
2021-10-08,29.570000,29.850000,29.360001,29.740000,29.740000,187741
2021-10-11,29.799999,29.900000,29.450001,29.610001,29.610001,161895
2021-10-12,29.440001,29.440001,29.049999,29.290001,29.290001,250021
2021-10-13,29.260000,29.299999,28.750000,28.850000,28.850000,248236
2021-10-14,29.000000,29.639999,29.000000,29.360001,29.360001,315330
2021-10-15,29.580000,29.580000,29.059999,29.059999,29.059999,287789
2021-10-18,29.059999,29.270000,28.780001,28.780001,28.780001,203006
2021-10-19,28.750000,29.160000,28.740000,28.969999,28.969999,163518
2021-10-20,28.969999,29.200001,28.780001,29.090000,29.090000,139447
2021-10-21,29.049999,29.120001,28.799999,28.850000,28.850000,188962
2021-10-22,28.930000,28.959999,28.350000,28.350000,28.350000,248017
2021-10-25,28.440001,28.459999,27.980000,28.129999,28.129999,282911
2021-10-26,28.129999,28.520000,28.070000,28.180000,28.180000,304856
2021-10-27,28.180000,28.400000,27.860001,28.150000,28.150000,344704
2021-10-28,28.120001,28.270000,27.850000,27.920000,27.920000,191436
2021-10-29,28.000000,28.129999,27.690001,27.690001,27.690001,239636
2021-11-01,27.780001,28.180000,27.709999,27.910000,27.910000,242730
2021-11-02,27.879999,28.020000,27.639999,27.790001,27.790001,208015
2021-11-03,27.760000,27.780001,27.530001,27.559999,27.559999,192147
2021-11-04,27.639999,28.059999,27.639999,27.799999,27.799999,246486
2021-11-05,27.760000,28.809999,27.750000,28.570000,28.570000,390810
2021-11-08,28.459999,28.770000,28.299999,28.370001,28.370001,282891
2021-11-09,28.309999,28.490000,28.030001,28.200001,28.200001,216156
2021-11-10,28.680000,28.959999,28.309999,28.700001,28.700001,423633
2021-11-11,28.600000,28.600000,27.930000,28.080000,28.080000,224329
2021-11-12,28.040001,28.230000,27.820000,27.950001,27.950001,222695
2021-11-15,28.000000,28.180000,27.879999,28.010000,28.010000,193606
2021-11-16,28.100000,28.290001,27.719999,27.770000,27.770000,195076
2021-11-17,27.809999,27.930000,27.530001,27.530001,27.530001,203626
2021-11-18,27.510000,27.510000,26.610001,26.610001,26.610001,414937
2021-11-19,26.740000,26.840000,25.820000,26.049999,26.049999,436334
2021-11-22,26.010000,26.430000,25.920000,26.400000,26.400000,261632
2021-11-23,26.080000,26.590000,26.020000,26.570000,26.570000,226872
2021-11-24,26.540001,26.540001,26.000000,26.219999,26.219999,260350
2021-11-25,26.270000,26.510000,25.879999,26.049999,26.049999,229364
2021-11-26,25.580000,25.709999,24.469999,25.000000,25.000000,502635
2021-11-29,25.100000,25.389999,24.700001,24.820000,24.820000,343132
2021-11-30,24.680000,24.730000,24.139999,24.280001,24.280001,525610
2021-12-01,24.490000,25.309999,24.480000,24.940001,24.940001,290317
2021-12-02,24.760000,25.049999,24.559999,25.049999,25.049999,264907
2021-12-03,25.230000,25.469999,25.150000,25.389999,25.389999,334516
2021-12-06,25.500000,25.980000,25.420000,25.930000,25.930000,234334
2021-12-07,26.000000,26.139999,25.480000,25.620001,25.620001,259842
2021-12-08,25.549999,25.780001,25.200001,25.299999,25.299999,250233
2021-12-09,25.350000,25.430000,25.030001,25.230000,25.230000,199800
2021-12-10,25.100000,25.580000,25.080000,25.469999,25.469999,92335
2021-12-13,25.400000,25.450001,24.570000,24.639999,24.639999,309833
2021-12-14,24.559999,24.719999,24.280001,24.559999,24.559999,228206
2021-12-15,24.559999,24.700001,24.350000,24.520000,24.520000,275154
2021-12-16,24.719999,24.980000,24.690001,24.700001,24.700001,336678
2021-12-17,24.809999,25.889999,24.750000,25.870001,25.870001,639093
2021-12-20,25.450001,25.629999,24.930000,25.500000,25.500000,275906
2021-12-21,26.000000,26.290001,25.580000,25.650000,25.650000,217024
2021-12-22,25.650000,26.309999,25.650000,26.190001,26.190001,392536
2021-12-23,26.190001,26.760000,26.190001,26.700001,26.700001,179976
2021-12-24,26.610001,26.709999,26.549999,26.620001,26.620001,43183
2021-12-27,26.590000,26.830000,26.530001,26.709999,26.709999,118544
